id;category;timer;question;image_desc;opt1;opt2;opt3;answer;explanation;speech
101;Gevaarherkenning;8;Je rijdt 50 km/u in een woonwijk. Er rolt een bal de straat op.;Gezichtspunt bestuurder in woonwijk auto's geparkeerd bal rolt de weg op;Remmen;Gas loslaten;Niets;Remmen;Bij een bal volgt bijna altijd een kind. Direct remmen is noodzakelijk.;Oei, direct remmen Eva! Achter zo'n bal komt bijna altijd een kindje aangerend. Geen risico nemen.
102;Gevaarherkenning;8;Snelweg, 100 km/u. In de verte zie je remlichten oplichten.;Snelweg uitzicht bestuurder zonnig ver weg rode remlichten file;Remmen;Gas loslaten;Niets;Gas loslaten;Het gevaar is ver weg. Gas loslaten is voldoende om snelheid te minderen.;Het is nog heel ver weg, dus je hoeft alleen maar even je gas los te laten. Geen paniek!
103;Gevaarherkenning;8;Je rijdt op een voorrangsweg. Een fietser van rechts lijkt niet te stoppen.;Bestuurder zicht op voorrangsweg fietser komt snel uit zijstraat rechts;Remmen;Gas loslaten;Niets;Gas loslaten;Je hebt voorrang, maar de fietser twijfelt. Gas los om paraat te zijn.;Ik zou even gas loslaten. Je hebt wel voorrang, maar je weet nooit of hij je ziet. Better safe than sorry!
104;Gevaarherkenning;8;Je rijdt 80 km/u. Een tegenligger is aan het inhalen en komt op jouw weghelft.;Provinciale weg tegenligger komt recht op je af tijdens inhalen;Remmen;Gas loslaten;Niets;Remmen;Acuut gevaar! Direct remmen en uitwijken naar de berm indien nodig.;Schrikken! Die auto komt recht op je af. Vol in de remmen en naar rechts sturen!
105;Gevaarherkenning;8;Je rijdt in de sneeuw. Er komt een scherpe bocht aan.;Winter landschap sneeuw op de weg scherpe bocht in zicht;Remmen;Gas loslaten;Niets;Gas loslaten;In de bocht remmen op sneeuw is gevaarlijk (slipgevaar). Gas los vòòr de bocht.;Pas op, gladheid! Niet remmen in de bocht, dan ga je glijden. Gewoon gas loslaten vóórdat je de bocht in gaat.
106;Inzicht;15;Bebouwde kom. Een bus geeft richting aan om weg te rijden bij de halte. Wat doe je?;Bus in bebouwde kom knipperlicht naar links aan;Gas geven;Stoppen en voorlaten;Toeteren;Stoppen en voorlaten;Binnen de bebouwde kom moet je een bus die wegrijdt bij een halte voor laten gaan.;Die buschauffeur wil wegrijden. Binnen de bebouwde kom moet je hem er netjes tussen laten.
107;Inzicht;15;Je nadert een druk kruispunt. Het stoplicht springt op oranje. Wat doe je?;Verkeerslicht op oranje druk kruispunt;Doorrijden;Gas bijgeven;Stoppen (indien veilig);Stoppen (indien veilig);Oranje betekent stoppen, tenzij je zo dichtbij bent dat stoppen niet meer veilig kan.;Oranje is remmen Eef, niet gas geven! Tenzij er iemand op je bumper kleeft, dan doorrijden.
108;Inzicht;15;Je rijdt op een smalle dijk. Er komt een grote vrachtwagen tegemoet. Wat is verstandig?;Smalle dijkweg grote vrachtwagen komt tegemoet;Gewoon doorrijden;De berm in duiken;Stoppen in een uitwijkplaats of berm;Stoppen in een uitwijkplaats of berm;Op smalle wegen moet je elkaar de ruimte geven. De personenauto wijkt meestal uit.;Die vrachtwagen is veel groter dan jij. Zoek even een plekje in de berm en wacht even.
109;Gevaarherkenning;8;Je ziet kinderen spelen op de stoep, vlakbij de rand.;Kinderen spelend met tikkertje op de stoeprand;Remmen;Gas loslaten;Niets;Gas loslaten;Kinderen zijn onvoorspelbaar. Gas loslaten verhoogt je reactietijd.;Kinderen letten nooit op. Voetje van het gas en wees klaar om te remmen.
110;Gevaarherkenning;8;Je rijdt 120 km/u. Er ligt een groot stuk plastic op de weg.;Snelweg met object op de rijbaan;Remmen;Gas loslaten;Niets;Gas loslaten;Hard remmen op de snelweg is gevaarlijk. Gas los en kijken of je kunt uitwijken.;Niet vol op de rem gaan op de snelweg voor een zakje! Gas los en kijk of je er omheen kunt.
111;Kennis;15;Wat betekent een rond bord met een rode rand?;Verkeersbord rond rood rand wit vlak;Waarschuwing;Verbod;Gebod;Verbod;Ronde borden met een rode rand geven bijna altijd een verbod aan (iets mag niet).;Rood randje is: dit mag niet! Een verbodsbord dus.
112;Kennis;15;Wanneer moet je dimlicht voeren?;Auto verlichting schakelaar;Alleen 's nachts;Bij slecht zicht en in het donker;Altijd;Bij slecht zicht en in het donker;Dimlicht is verplicht bij duisternis en wanneer het zicht belemmerd wordt (mist, regen).;Als het donker is of als je weinig ziet: dimlicht aan. Simpel.
113;Kennis;15;Wat is de maximale snelheid in een woonerf?;Bord woonerf blauw rechthoekig;15 km/u;30 km/u;50 km/u;15 km/u;In een woonerf geldt 'stapvoets', wat juridisch is vastgesteld op 15 km/u.;In een woonerf mag je maar stapvoets. Dat is dus 15 kilometer per uur.
114;Kennis;15;Mag je rechts inhalen op de snelweg?;Snelweg situatie;Ja, altijd;Nee, nooit;Alleen bij file of blokmarkering;Alleen bij file of blokmarkering;Rechts inhalen is verboden, behalve in files of rechts van een blokmarkering.;Nee, rechts inhalen is aso. Behalve in de file, dan mag het wel.
115;Kennis;15;Wie heeft voorrang op een gelijkwaardig kruispunt?;Gelijkwaardig kruispunt geen borden;Snelverkeer;Bestuurders van rechts;Groot verkeer;Bestuurders van rechts;Op een gelijkwaardig kruispunt hebben alle bestuurders van rechts voorrang.;Rechts gaat voor! Tenzij het een onverharde weg is, maar dat is hier niet zo.
116;Kennis;15;Wat betekent een doorgetrokken streep?;Wegdek met doorgetrokken streep midden;Niet inhalen / overschrijden;Alleen inhalen mag;Parkeerverbod;Niet inhalen / overschrijden;Je mag een doorgetrokken streep niet overschrijden (dus ook niet inhalen).;Die streep is een muur, Eef. Je mag er niet overheen.
117;Kennis;15;Hoeveel alcohol mag een beginnend bestuurder in het bloed hebben?;Glas bier met autosleutels;0,2 promille;0,5 promille;0,0 promille;0,2 promille;Voor beginners is de limiet 0,2 promille (ongeveer 1 glas). Voor ervaren bestuurders 0,5.;Als beginner mag je bijna niks drinken. Maximaal 0,2 promille. Beter gewoon niks.
118;Kennis;15;Is een gevarendriehoek verplicht in de auto?;Kofferbak met gevarendriehoek;Ja;Nee;Alleen in het buitenland;Nee;In Nederland is het niet verplicht om hem BIJ je te hebben, maar je moet hem wel kunnen gebruiken bij pech.;Gek genoeg hoeft het niet in Nederland. Maar leg 'm er toch maar in voor de zekerheid.
119;Kennis;15;Wanneer gebruik je mistlicht aan de voorzijde?;Mistbank op de weg;Zicht minder dan 200m;Zicht minder dan 50m;Altijd bij mist;Zicht minder dan 200m;Mistlicht voor mag al aan bij zicht minder dan 200 meter (regen, mist, sneeuw).;Mistlampen voor mogen aan als je minder dan 200 meter ziet.
120;Inzicht;15;Mag je stilstaan op een bushalte om iemand uit te laten stappen?;Bushalte met auto die stopt;Ja;Nee;Alleen als er geen bus is;Ja;Je mag passagiers direct laten in- en uitstappen, mits je de bus niet hindert.;Ja hoor, even snel iemand eruit gooien mag. Maar niet parkeren!
121;Inzicht;15;Je wilt inhalen. Wat is de belangrijkste stap?;Auto wil inhalen spiegel;Kijken;Richting aangeven;Gas geven;Kijken;Kijken (binnenspiegel, buitenspiegel, dode hoek) is altijd stap 1.;Kijken, kijken, kijken! Pas als je het zeker weet, ga je pas sturen.
122;Inzicht;15;Je rijdt in een file. Wat is de veilige afstand?;File rijden;2 seconden regel;Bumper aan bumper;Voldoende om te kunnen stoppen;Voldoende om te kunnen stoppen;In een file is 2 seconden soms niet haalbaar, maar je moet altijd genoeg ruimte hebben om te remmen.;Niet bumperkleven in de file. Hou een beetje ruimte voor het geval ze weer remmen.
123;Inzicht;15;Er steekt plotseling wild over. Wat doe je?;Hert springt voor de auto;Uitwijken;Remmen en stuur recht houden;Toeteren;Remmen en stuur recht houden;Uitwijken is gevaarlijk (boom/tegenligger). Remmen vermindert de klap.;Remmen en stuur recht houden! Niet uitwijken, want dan knal je tegen een boom.
